# id	left	top	right	bottom	texture_id
[SPRITES]

#START
40000	16	32	31	47	100

#PATH NODE
41000	48	32	63	47	100
41001	80	0	95	15	100
41002	112	32	127	47	100

#MUSHROOM_HOUSE
42000	176	32	191	47	100

43000	80	64	95	79	100
44000	48	48	63	63	100

45000	176	96	191	111	100
45001	176	80	191	95	100

46000	112	64	127	79	100


#PLAY_NODE

49001	48	0	63	15	100
49002	112	0	127	15	100
49003	144	0	159	15	100
49004	144	32	159	47	100
49005	48	128	63	143	100
49006	112	128	127	143	100

#CLEAR_NODE
49999	26	216	41	231	90


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
