# id	left	top	right	bottom	texture_id
[SPRITES]

#TUSSOCK
11000	16	352	143	415	50

#DOUBLE_CLOUD
11001	120	273	167	296	50

#TRIPPE_SMALL_TUSSOCK
11002	160	400	207	415	50

#RED AND BLUE SPECIAL BOX
11003	240	336	327	415	50


11004	400	368	615	415	50	
11005	464	304	583	367	50

#SINGE_CLOUD
11006	328	257	359	280	50

#TRIPPLE_CLOUD
11007	728	304	791	327	50

11008	816	336	1007	399	50
11009	1040	384	1071	399	50
11010	1888	368	1951	415	50

11011	2368	288	2463	415	50

#BLACK_BACKGROUND (END MAP1-1)
11012	2480	0	2815	415	50		
	

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
