# id	left	top	right	bottom	texture_id
[SPRITES]
#TRANSPARENT
10000	350	12	365	30	0

#####  BIG ###############
#IDLE
11121	216	242	239	269	0
11111	176	242	189	269	0

#WALKING RIGHT
11222	255	242	270	269	0
11223	295	242	310	269	0

#WALKING LEFT
11212	135	242	150	269	0
11213	95	242	110	269	0


#RUNNING RIGHT
11321	213	322	232	351	0
11322	253	322	272	351	0
11323	293	322	312	351	0

#RUNNING LEFT
11311	173	322	192	351	0
11312	133	322	152	351	0
11313	93	322	112	351	0


#JUMP WALK RIGHT
11417	335	242	352	271	0
11413	55	242	72	271	0

#JUMP RUN RIGHT & LEFT
11427	334	363	352	392	0
11423	54	363	72	392	0

#SIT RIGHT & LEFT 
11521	376	248	390	266	0
11511	16	248	30	266	0

#BRACE RIGHT & LEFT 
11621	215	283	230	312	0
11611	175	283	190	312	0

#HOLD RIGHT & LEFT
11721	331	323	344	350	0
11722	356	323	370	350	0
11723	381	323	395	350	0

11711	61	323	74	350	0
11712	35	323	49	350	0
11713	10	323	24	350	0

#DIE
13001	15	209	30	224	0


############ SMALL ################
 #IDLE
12121	217	89	232	104	0
12111	177	89	192	104	0


#WALK RIGHT
12222	255	89	270	104	0

#WALK LEFT
12212	135	89	150	104	0


#RUN RIGHT
12321	215	169	230	184	0
12322	255	169	270	184	0


#RUN LEFT
12311	175	169	190	184	0
12312	135	169	150	184	0

#BRACE RIGHT & LEFT
12511	216	129	231	144	0
12521	176	129	191	144	0


#JUMP WALK RIGHT & LEFT 
12417	335	89	350	104	0
12413	55	89	70	104	0

#JUMP RUN RIGHT & LEFT 
12427	215	209	230	224	0
12423	175	209	190	224	0

#HOLD RIGHT & LEFT
12721	336	169	349	184	0
12722	376	169	390	184	0

12711	56	169	69	184	0
12712	15	169	29	184	0



##########TAIL##############

#IDLE
14121	211	443	232	472	0
14111	172	443	193	472	0


#WALKING RIGHT
14222	261	443	282	472	0
14223	291	443	312	472	0

#WALKING LEFT
14212	122	443	143	472	0
14213	92	443	113	472	0

#RUNNING RIGHT
14321	211	523	234	550	0
14322	251	523	274	550	0
14323	291	523	314	550	0

	
#RUNNING LEFT
14311	171	523	194	550	0
14312	131	523	154	550	0
14313	91	523	114	550	0

#JUMP WALK RIGHT & LEFT
14417	331	443	352	470	0
14413	51	443	72	470	0

#JUMP RUN RIGHT & LEFT
14427	331	443	352	470	0
14423	51	443	72	470	0	


#SIT RIGHT & LEFT
14521	371	448	394	465	0
14511	11	448	34	465	0

#BRACE RIGHT & LEFT 
14621	215	482	230	511	0
14611	175	482	190	511	0


#HOLD RIGHT & LEFT
14721	322	523	342	550	0
14722	351	523	372	550	0
14723	381	523	403	550	0

14711	63	523	83	550	0
14712	33	523	54	550	0
14713	2	523	24	550	0


# ani_id	sprite1_id	time1	sprite2_id	time2	...

########BIG###########
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#HOLD RIGHT & LEFT
200	11721	100
201	11711	100

#HOLD RUN RIGHT & LEFT
300	11721	100	11722	100	11723	100
301	11711	100	11712	100	11713	100

#DIE
999	13001	100

################### SMALL #################

#IDLE
1100	12121	100
1102	12111	100

#WALK LEFT & RIGHT 
1200	12121	100	12222	100
1201	12111	100	12212	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100
1301	12311	100	12312	100


#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#HOLD RIGHT & LEFT
200	11721	100
201	11711	100

#HOLD RUN RIGHT & LEFT
300	11721	100	11722	100	11723	100
301	11711	100	11712	100	11713	100


################TAIL###################
[ANIMATIONS]

#IDLE
2100	14121	100
2101	14111	100

#WALK LEFT & RIGHT 
2200	14121	100	14222	100
2201	14111	100	14212	100

#RUN LEFT & RIGHT
2301	14311	100	14312	100
2300	14321	100	14322	100



#BRACE LEFT & RIGHT
2401	14611	100
2400	14621	100


#JUMP WALK RIGHT & LEFT
2500	14417	100
2501	14413	100

#JUMP RUN RIGHT & LEFT
2600	14427	100 
2601	14423	100


#SIT RIGHT AND LEFT
2700	14521	100
2701	14511	100



[ANIMATIONS]
#FROM SMALL TO BIG RIGHT & LEFT
9000	12121	100	11121	100
9100	12122	100	11122	100

#FROM BIG TO TAIL RIGHT & LEFT
9001	11121	100	14121	100
9101	11122	100	14122	100

#FROM BIG TO SMAL RIGHT & LEFT
9002	11121	100	12121	100
9102	11122	100	12122	100

#FROM TAIL TO BIG RIGHT & LEFT
9003	11121	100	14121	100
9103	11122	100	14122	100
